Row	viability
C_1411	0.87
C_1412	0.59
C_1413	0.26
C_1414	0.22
C_1415	0.21
C_1416	1.26
C_1417	1.279
C_1418	1.177
C_1419	0.64
C_1420	0.9912
C_1421	0.76
C_1422	0.26
C_1423	0.17
C_1424	1.067
C_1425	0.91
C_1426	0.99951
C_1427	0.61
C_1428	0.27
C_1429	0.18
C_1430	0.2
C_1431	0.14
C_1432	0.9
C_1433	0.93
C_1434	0.923
C_1435	0.997
C_1436	0.922
C_1437	0.931
C_1438	0.85
C_1439	0.08
C_1440	1.108
C_1441	1.0157
C_1442	0.9987
C_1443	0.968
C_1444	0.922
C_1445	0.84
C_1446	0.76
C_1447	0.49
C_1448	1.0847
C_1449	1.0495
C_1450	1.0538
C_1451	0.9919
C_1452	1.0383
C_1453	0.929
C_1454	0.76
C_1455	0.64
C_1456	0.88
C_1457	0.48
C_1458	0.4
C_1459	0.28
C_1460	0.24
C_1461	0.18
C_1462	0.14
C_1463	0.09
C_1464	0.89
C_1465	1.0067
C_1466	0.69
C_1467	0.75
C_1468	0.46
C_1469	0.34
C_1470	0.26
C_1471	0.18
C_1472	1.15
C_1473	1.0721
C_1474	1.127
C_1475	0.972
C_1476	0.83
C_1477	0.6
C_1478	0.28
C_1479	0.14
C_1480	1.0098
C_1481	1.0938
C_1482	0.65
C_1483	0.35
C_1484	0.33
C_1485	0.35
C_1486	0.21
C_1487	0.18
C_1488	0.9
C_1489	1.0298
C_1490	0.77
C_1491	0.84
C_1492	0.954
C_1493	0.934
C_1494	0.85
C_1495	0.74
C_1496	1.0199
C_1497	0.989
C_1498	1.0673
C_1499	1.131
C_1500	0.959
C_1501	0.957
C_1502	1.0253
C_1503	0.86
C_1504	1.137
C_1505	1.106
C_1506	1.145
C_1507	1.126
C_1508	0.9985
C_1509	0.931
C_1510	0.9926
C_1511	0.89
C_1512	0.6
C_1513	0.29
C_1514	0.22
C_1515	0.14
C_1516	0.11
C_1517	0.1
C_1518	0.09
C_1519	0.09
C_1520	0.945
C_1521	1.02
C_1522	0.937
C_1523	0.76
C_1524	0.43
C_1525	0.23
C_1526	0.15
C_1527	0.11
C_1528	1.0756
C_1529	1.0419
C_1530	1.109
C_1531	0.922
C_1532	0.52
C_1533	0.29
C_1534	0.16
C_1535	0.07
C_1536	0.9
C_1537	0.82
C_1538	0.71
C_1539	0.36
C_1540	0.19
C_1541	0.14
C_1542	0.1
C_1543	0.1
C_1544	0.977
C_1545	0.915
C_1546	0.86
C_1547	1.0778
C_1548	0.967
C_1549	0.964
C_1550	0.909
C_1551	1.0043
C_1552	1.18
C_1553	1.113
C_1554	0.9907
C_1555	1.166
C_1556	1.312
C_1557	0.993
C_1558	0.77
C_1559	0.7
C_1560	1.0841
C_1561	0.83
C_1562	0.69
C_1563	0.57
C_1564	0.41
C_1565	0.17
C_1566	0.04
C_1567	-0.2
C_1568	0.914
C_1569	0.85
C_1570	1.0528
C_1571	0.74
C_1572	0.89
C_1573	0.93
C_1574	1.0015
C_1575	0.77
C_1576	0.967
C_1577	0.87
C_1578	1.224
C_1579	0.88
C_1580	0.901
C_1581	0.957
C_1582	1.0363
C_1583	0.87
C_1584	1.0538
C_1585	1.186
C_1586	1.0053
C_1587	1.192
C_1588	0.89
C_1589	1.0084
C_1590	0.71
C_1591	0.58
C_1592	0.943
C_1593	0.81
C_1594	0.89
C_1595	0.924
C_1596	1.0235
C_1597	1.0261
C_1598	0.954
C_1599	1.0074
C_1600	1.0289
C_1601	1.115
C_1602	1.0095
C_1603	1.179
C_1604	0.941
C_1605	1.112
C_1606	0.65
C_1607	0.56
C_1608	1.0052
C_1609	0.86
C_1610	1.0503
C_1611	0.9933
C_1612	0.939
C_1613	0.963
C_1614	0.71
C_1615	0.924
C_1616	1.008
C_1617	1.0358
C_1618	0.9931
C_1619	1.112
C_1620	1.0663
C_1621	1.0502
C_1622	1.0091
C_1623	0.981
