source	target	direction	stimulation	inhibition	sources	references
Q00535	P42858	1	1	0	HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;dbPTM;iPTMnet	PhosphoSite:15911879;PhosphoSite:16782707;PhosphoSite:25799558;ProtMapper:17611284;SIGNOR:17611284;dbPTM:17611284;dbPTM:18691976;dbPTM:19413330;iPTMnet:17611284
P35222	P15172	1	1	0	SIGNOR	SIGNOR:18316399
Q9Y4D1	P61586	1	1	0	CancerCellMap;HPRD;IntAct;KEGG;NetPath;SIGNOR;Wang	CancerCellMap:11779461;HPRD:11779461;IntAct:18218625;IntAct:25241761;NetPath:11779461;SIGNOR:19365405
Q9NPG1	P61586	1	1	0	SIGNOR	SIGNOR:20828404
Q16539	Q15672	1	1	0	ACSN;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	ACSN:21502402;ProtMapper:21502402;SIGNOR:21502402;iPTMnet:21502402
P45983	Q15672	1	1	0	ACSN;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;iPTMnet	ACSN:21502402;ProtMapper:21502402;SIGNOR:21502402;iPTMnet:21502402
P06493	Q92574	1	0	1	ACSN;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	ACSN:14551205;ACSN:18414028;HPRD-phos:14551205;HPRD:11444800;HPRD:14551205;InnateDB:11444800;KEA:14551205;PhosphoSite:14551205;PhosphoSite:20006582;ProtMapper:14551205;SIGNOR:14551205;iPTMnet:14551205;phosphoELM:14551205
P17252	Q06124	1	1	0	Adhesome;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;Kinexus_KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP	Adhesome:11781100;Adhesome:16055440;HPRD-phos:11781100;HPRD:11781100;KEA:11781100;ProtMapper:11781100;SIGNOR:11781100;iPTMnet:11781100
Q06124	P17252	1	0	0	Adhesome;HPRD;SIGNOR	Adhesome:11781100;Adhesome:16055440;HPRD:11781100;SIGNOR:11781100
P49792	P46527	1	0	1	SIGNOR	SIGNOR:28882106
P40818	Q9H4P4	1	1	0	HPRD;Lit-BM-17;SIGNOR;Wang	HPRD:15314180;Lit-BM-17:15314180;Lit-BM-17:17035239;SIGNOR:23750007
Q9H4P4	P40818	1	0	0	HPRD;Lit-BM-17;SIGNOR	HPRD:15314180;Lit-BM-17:15314180;Lit-BM-17:17035239;SIGNOR:23750007
Q7Z6J0	P15153	1	1	0	SIGNOR	SIGNOR:9482736
Q92529	P62993	1	1	0	HPRD;SIGNOR;Wang	HPRD:12242309;SIGNOR:16729043;SIGNOR:16829981
